variable,វាគឺជាធុងសម្រាប់រក្សាទុកទិន្នន័យនៅក្នុងកម្មវិធី ដែលយើងអាចហៅមកប្រើប្រាស់វិញបាន។
function,បណ្តុំនៃកូដដែលត្រូវបានបង្កើតឡើងដើម្បីអនុវត្តភារកិច្ចជាក់លាក់មួយ និងអាចហៅប្រើបានច្រើនដង។
loop,បច្ចេកទេសដែលអនុញ្ញាតឱ្យកូដដំណើរការឡើងវិញដដែលៗ ផ្អែកលើលក្ខខណ្ឌដែលបានកំណត់។
python list,វាគឺជាទម្រង់រក្សាទុកទិន្នន័យជាលំដាប់ ដែលអាចផ្ទុកតម្លៃបានច្រើនប្រភេទក្នុងពេលតែមួយ។
javascript dom,គឺជាចំណុចប្រទាក់ដែលអនុញ្ញាតឱ្យ JavaScript កែប្រែរចនាសម្ព័ន្ធ និងខ្លឹមសាររបស់ Web Page។
c++ pointer,វាគឺជាអថេរដែលរក្សាទុកអាសយដ្ឋានមេម៉ូរី (Memory Address) នៃអថេរដទៃទៀត។
class,គឺជាប្លង់មេ (Blueprint) សម្រាប់បង្កើត Object នៅក្នុងការសរសេរកូដបែប OOP។
api,ចំណុចប្រទាក់ដែលអនុញ្ញាតឱ្យកម្មវិធីពីរ ឬច្រើនអាចធ្វើការទំនាក់ទំនង និងផ្លាស់ប្តូរទិន្នន័យគ្នាបាន។
json,ទម្រង់ទិន្នន័យដែលមានទម្ងន់ស្រាល និងងាយស្រួលសម្រាប់មនុស្សអាន និងម៉ាស៊ីនវិភាគ។
git,ប្រព័ន្ធគ្រប់គ្រងកំណែកូដ (Version Control) ដែលជួយឱ្យអ្នកសរសេរកូដអាចតាមដានការផ្លាស់ប្តូរបាន។
